cell_idx,replicate,condition,image_name,local_label_id,local_cell_index,microscope,magnification_x,pixel_size_um_per_px,scale_factor,norm_mem_lo,norm_mem_hi,norm_nuc_lo,norm_nuc_hi
0,ID18,CTRL,10X-CTRL-Foto1,1,0,EVOS,10,0.883002,1.968653,0.0,1810.66015625,376.0,2001.0
1,ID18,CTRL,10X-CTRL-Foto1,2,1,EVOS,10,0.883002,1.968653,0.0,2055.6796875,327.0299987792969,2740.909912109375
2,ID18,CTRL,10X-CTRL-Foto1,3,2,EVOS,10,0.883002,1.968653,0.0,3082.4609375,427.4800109863281,2653.0
3,ID18,CTRL,10X-CTRL-Foto1,4,3,EVOS,10,0.883002,1.968653,0.0,3434.969970703125,548.47998046875,3737.1201171875
4,ID18,CTRL,10X-CTRL-Foto1,5,4,EVOS,10,0.883002,1.968653,0.0,3152.541015625,342.5299987792969,1435.469970703125
5,ID18,CTRL,10X-CTRL-Foto1,6,5,EVOS,10,0.883002,1.968653,0.0,3090.560546875,430.82000732421875,4052.18017578125
6,ID18,CTRL,10X-CTRL-Foto1,8,6,EVOS,10,0.883002,1.968653,0.0,1880.71875,387.0,1944.960205078125
7,ID18,CTRL,10X-CTRL-Foto1,10,7,EVOS,10,0.883002,1.968653,0.0,2184.203125,369.25,2683.25
8,ID18,CTRL,10X-CTRL-Foto1,12,8,EVOS,10,0.883002,1.968653,0.0,1901.5400390625,539.1500244140625,3432.0
9,ID18,CTRL,10X-CTRL-Foto1,13,9,EVOS,10,0.883002,1.968653,0.0,1638.0,415.0,2590.0400390625
10,ID18,CTRL,10X-CTRL-Foto1,14,10,EVOS,10,0.883002,1.968653,0.0,1838.859375,469.2799987792969,4004.518798828125
11,ID18,CTRL,10X-CTRL-Foto1,15,11,EVOS,10,0.883002,1.968653,0.0,2046.3203125,439.4100036621094,2377.0
12,ID18,CTRL,10X-CTRL-Foto1,16,12,EVOS,10,0.883002,1.968653,0.0,3410.6201171875,485.44000244140625,3249.68017578125
13,ID18,CTRL,10X-CTRL-Foto1,18,13,EVOS,10,0.883002,1.968653,0.0,4095.0,0.0,4095.0
14,ID18,CTRL,10X-CTRL-Foto1,19,14,EVOS,10,0.883002,1.968653,0.0,4095.0,413.55999755859375,2875.7998046875
15,ID18,CTRL,10X-CTRL-Foto1,20,15,EVOS,10,0.883002,1.968653,0.0,2258.97900390625,419.760009765625,2392.9599609375
16,ID18,CTRL,10X-CTRL-Foto1,21,16,EVOS,10,0.883002,1.968653,0.0,1840.41015625,455.30999755859375,2843.76025390625
17,ID18,CTRL,10X-CTRL-Foto1,22,17,EVOS,10,0.883002,1.968653,0.0,2216.099609375,431.0,2442.760009765625
18,ID18,CTRL,10X-CTRL-Foto1,24,18,EVOS,10,0.883002,1.968653,0.0,1884.0302734375,504.75,3267.150390625
19,ID18,CTRL,10X-CTRL-Foto1,25,19,EVOS,10,0.883002,1.968653,0.0,2942.80029296875,449.0,3070.260009765625
20,ID18,CTRL,10X-CTRL-Foto1,26,20,EVOS,10,0.883002,1.968653,0.0,1626.25,460.3500061035156,2885.650146484375
21,ID18,CTRL,10X-CTRL-Foto1,27,21,EVOS,10,0.883002,1.968653,0.0,2062.8408203125,408.6000061035156,2301.39990234375
22,ID18,CTRL,10X-CTRL-Foto1,28,22,EVOS,10,0.883002,1.968653,0.0,2160.490234375,384.0,2202.239990234375
23,ID18,CTRL,10X-CTRL-Foto1,29,23,EVOS,10,0.883002,1.968653,1145.0,2054.0,376.0,2044.960205078125
24,ID18,CTRL,10X-CTRL-Foto1,31,24,EVOS,10,0.883002,1.968653,0.0,3431.2587890625,298.07000732421875,3165.229248046875
25,ID18,CTRL,10X-CTRL-Foto1,32,25,EVOS,10,0.883002,1.968653,0.0,2097.310546875,449.1199951171875,2511.93994140625
26,ID18,CTRL,10X-CTRL-Foto1,33,26,EVOS,10,0.883002,1.968653,0.0,2076.69921875,361.0,2976.85009765625
27,ID18,CTRL,10X-CTRL-Foto1,34,27,EVOS,10,0.883002,1.968653,0.0,2153.580078125,619.0,4095.0
28,ID18,CTRL,10X-CTRL-Foto1,35,28,EVOS,10,0.883002,1.968653,0.0,1890.0,453.010009765625,3207.969970703125
29,ID18,CTRL,10X-CTRL-Foto1,36,29,EVOS,10,0.883002,1.968653,0.0,1715.939453125,347.3999938964844,2103.300048828125
30,ID18,CTRL,10X-CTRL-Foto1,38,30,EVOS,10,0.883002,1.968653,0.0,3724.37890625,454.29998779296875,2685.699951171875
